id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
139374,11811,.hack//frägment,NULL,2005-11-23 00:00:00.000,4,NULL,NULL,NULL,NULL,NULL
122766,97356,10 Pin: Champions Alley,NULL,2005-05-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101770,14727,"10,000 Bullets",NULL,2005-02-24 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
119841,69821,1213: Episode 1,NULL,2005-12-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
46072,76205,1848,NULL,2005-05-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
174783,3978,187 Ride or Die,NULL,2005-08-23 00:00:00.000,1,NULL,47.5000,5,NULL,NULL
136433,77825,2 Games In 1: Cartoon Network Block Party & Cartoon Network Speedway,NULL,2005-04-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128422,79840,2 Games In 1: Disney's Brother Bear + Disney Princess,NULL,2005-05-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80335,86053,2 Games in 1: Sonic Advance + ChuChu Rocket!,NULL,2005-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118703,74882,2 Games in 1: Sonic Advance + Sonic Battle,NULL,2005-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115662,79839,2 Games in 1: Sonic Pinball Party + Sonic Battle,NULL,2005-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62628,80023,2 In 1 Game Pack: Spider-Man + Spider-Man 2,NULL,2005-08-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
34332,80112,2 in 1 Game Pack: Spider-Man: Mysterio's Menace + X2: Wolverine's Revenge,NULL,2005-08-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
177570,82102,2 In 1: Asterix & Obelix: Bash Them All! + Asterix & Obelix XXL,NULL,2005-06-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25335,84266,2 in 1: V-Rally 3 + Stuntman,NULL,2005-07-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
153198,82103,2 jeux en 1: Titeuf: Ze Gag Machine + Titeuf: Méga compet',NULL,2005-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
33440,40792,2005 Minigame Multicart,NULL,2005-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
66523,198218,3D Bomberman,NULL,2005-09-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
69391,56460,3rd World Farmer,NULL,2005-11-07 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
22361,4011,50 Cent: Bulletproof,"You are the rapper 50 Cent in the streets of New York. You receive a urgent page for one of your old cell mates K-Dog, which leads you into a ambush where 50 Cent gets shot nine times and is left to die. After 50 survives you are back out in the streets sneaking for revenge. 50 gets caught up in a underground world working along side with G-Unit soldiers Lloyd Banks, Young Buck, and Tony Yayo. You go through the game dealing with shady deals and people while taking on the most dangerous crime organization in all of New York City. 50 puts in work to uncover the truth behind the international conspiracy that is being fueled by the streets.",2005-11-17 00:00:00.000,1,NULL,45.0000,2,59.5504,16
154998,135864,50K Racewalker,NULL,2005-01-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
128980,19805,7 Sins,NULL,2005-05-27 00:00:00.000,4,NULL,NULL,NULL,47.8449,5
174798,68859,80 Days,NULL,2005-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19240,74789,A Game With a Kitty,NULL,2005-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
62388,58069,Acalius: Enemies Of The Wild,NULL,2005-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172563,6297,Ace Combat Advance,NULL,2005-02-22 00:00:00.000,NULL,NULL,50.0000,1,NULL,NULL
191605,587,Act of War: Direct Action,NULL,2005-03-15 00:00:00.000,3,NULL,80.0000,4,70.1722,8
174821,4658,Action Girlz Racing,NULL,2005-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172572,65270,Adrenalin,NULL,2005-10-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
193396,1693,Advance Wars: Dual Strike,"On the heels of its last defeat, the nefarious Black Hole Army has fallen under the control of a deadly new commanding officer. He has sent its new COs to attack the nations of Wars World once again, and it’s up to the allied armies of Orange Star, Blue Moon, Yellow Comet and Green Earth to put an end to Black Hole once and for all.",2005-06-23 00:00:00.000,14,NULL,90.6667,3,84.4239,42
195759,5716,Advent Rising,"You are Gideon Wyeth, one of the last remaining humans. An alien race called the Seekers are hell bent on destroying the human race. After earth is destroyed you take refuge with an ally alien race called Aurelians. The Aurelians aid and train you to fight the Seekers. You are humanities last hope.",2005-05-31 00:00:00.000,10,NULL,68.7500,5,79.4686,18
37526,56531,Adventure Player,NULL,2005-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145414,23739,Adventures in the Galaxy of Fantabulous Wonderment,"It is a time of turmoil in the galaxy. Following the disappearance of the Defender of the Universe, the Galactic Presidency has been dissolved and anarchy reigns. With the galaxy divided into three distinct zones, the Galactic Police and the Culthorpe pirate family are engaged in a cold war from across the Lifeless Zone. Life has never been more dangerous for the people of the universe, doubly so for those who make a living flying from planet to planet. And to make matters worse, an invisible conspiracy is threatening life itself.

None of which means anything to Daniel Gordon, earthling and wage slave, whose major concern is keeping hold of his pension plan. That is until he is unexpectedly abducted by the galaxy's premier employment agency and finds himself stuck with a crew of misfit mercenaries on a cargo transporter built more like a skip with thrusters. Will he get back to Earth in time for the meeting with his boss? Or will his adventure be cut short?",2005-07-27 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
172879,15847,Aeon Flux,NULL,2005-11-15 00:00:00.000,NULL,NULL,56.6667,3,NULL,NULL
105223,73847,AFL Premiership 2005,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
154748,174102,Against All Odds,NULL,2005-05-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
183753,4663,Agatha Christie: And Then There Were None,NULL,2005-09-30 00:00:00.000,7,NULL,56.0000,4,70.0428,14
96638,144346,Age of Empires II Mobile,NULL,2005-07-01 00:00:00.000,1,1,NULL,NULL,NULL,NULL
138526,299,Age of Empires III,"The story-based campaign mode consists of related scenarios with preset objectives, such as destroying a given building. In Age of Empires III, the campaign follows the fictional Black family in a series of three ""Acts"", which divide the story arc into three generations. All three acts are narrated by Amelia Black (Tasia Valenza).

Instead of playing as one of the standard civilizations, the player controls special civilizations linked to the character or period that each Act portrays: the Knights of St. John for Act I, John Black's Mercenaries for Act II, and the United States for Act III. Most player units speak English, with the exception of unique units such as Spanish Rodeleros and Lancers or German Uhlans and War Wagons.

Act I: Blood
In the late 16th century, Morgan Black—a Scottish-born mid-level commander of the Knights of Saint John— defends their last stronghold on Malta from the forces of Sahin ""The Falcon"" of the Ottoman Empire (in a telling of the Great Siege of Malta). When the Turks flee, Morgan and his superior Alain Magnan discover a stone library telling of the Lake of the Moon; the Fountain of Youth, a rumored source of eternal life; and a secret society called the Circle of Ossus, who seek the Fountain for their own gain. Alain orders Morgan to sail to the New World to search for the Lake, but Morgan is attacked by the pirate Elisabet ""Lizzie"" Ramsey and lands in the Caribbean islands. After re-engaging and defeating Lizzie, Morgan's men find some navigation charts and sail to New Spain. In Yucatan, Morgan's forces destroy an Ottoman base. However, Spanish conquistador Francisco Juan Delgado de Leon captures Sahin. Morgan then defends his new Aztec allies from the Spanish and learns Delgado was looking for the map to the Lake of the Moon, disguised as a town square mosaic. Morgan sets sail for Florida, but his fleet is damaged by a hurricane and docks in Havana, Cuba, where he earns Lizzie's respect and promises her the gold from the Spanish treasure fleet if she takes him to Florida.

In Florida, while Alain claims the lake, Morgan and Lizzie capture Spanish treasure ships and Sahin, killing Delgado in the process. Sahin tells Morgan that he only wanted to keep the Circle from claiming the Fountain. Alain orders Morgan to execute Sahin, but Sahin and Lizzie convince Morgan that Alain actually leads the Circle of Ossus. At the Lake of the Moon, the group captures an enormous stationary cannon called a ""Fixed Gun"" from the Circle. Using the Fixed Gun, Lizzie's fire ships and Morgan's ground forces hold off the Circle's elite Boneguard soldiers, kill Alain, and destroy the Fountain. After the battle, Sahin returns to Turkey, and Lizzie, having lost her Spanish gold, leaves for the Caribbean, although it is hinted she and Morgan will reunite. Morgan silently wonders whether they really found the Fountain of Youth, then refills his empty canteen with water from the lake.",2005-10-18 00:00:00.000,110,NULL,78.2500,5,79.0335,316
110152,95462,Agent Hugo,NULL,2005-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
157819,216767,Aggressive Alpine Skiing,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
171560,200667,Air Hockey,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130346,146513,Airball,NULL,2005-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
40982,593,Airstrike II: Gulf Thunder,NULL,2005-02-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31659,127641,Aladdin Pinball,NULL,2005-07-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16083,81170,Alarm für Cobra 11: Vol. 3,NULL,2005-11-22 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
80293,49469,Alexandra Ledermann,NULL,2005-10-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
168085,5721,Alfa Romeo Racing Italiano,NULL,2005-06-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
141727,52381,Alfa: Antiterror,The story of the game follows a Russian special forces Alpha Group. The player guides the actions of the detachment of an elite squad Alpha Group to fight terrorism. Many jobs in the game are based on historical events.,2005-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175041,210733,Alien Hominid,NULL,2005-02-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19695,73135,Alien Outbreak 2: Invasion,"Protorions, or alien ghosts, who are determined to wipe out the Galarion system, have possessed the friendly races of Humans: Tekkos, Kzeos and Insoids, and have only one thing in their way. A small ship armed to the teeth and piloted by you. Through eight missions and eighty levels of space shooting mayhem you will have to prove your courage and defeat the alien bosses.",2005-05-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
179510,43403,All Star Fighting,NULL,2005-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
113936,153633,Alpha Zone 3D,NULL,2005-10-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
70567,68265,Alpine Skiing 2005,"You are standing at the peak of one of the world's greatest ski runs. It is eerily quiet and the view of the mountains below is incredible. You are completely focused on the job in hand to descend the slope at breakneck speed, cutting through the gates and executing the all important jumps without reducing your speed. You are against the clock, against your fellow competitors and, of course, against the terrifying mountain itself. You hear the familiar countdown, take a deep breath and off you go.",2005-06-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
75437,19411,Altered Beast,"The story follows a man called Luke Custer who is a ""Genome-Cyborg"", a human whose DNA and other genetic make-up has been artificially altered by micro-chips containing the genetic make-up of other creatures to transform him into an anthropomorphic beast. After surviving a helicopter crash, Luke loses his memory and sets off to learn about the truth behind his past and the Genome-Cyborgs memory his is back.",2005-01-27 00:00:00.000,4,NULL,NULL,NULL,65.8344,7
77228,47304,American Chopper,NULL,2005-01-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
35350,3785,American Chopper 2: Full Throttle,NULL,2005-11-17 00:00:00.000,1,NULL,NULL,NULL,34.0000,2
118793,5722,America's Army: Rise of a Soldier,NULL,2005-11-17 00:00:00.000,1,NULL,75.0000,1,NULL,NULL
93153,5483,Amped 3,NULL,2005-11-22 00:00:00.000,2,NULL,70.0000,2,75.0000,4
59189,44649,Angel's Feather: Kohaku no Hitomi,NULL,2005-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
96885,51428,Angel's Feather: Kuro no Zanei,NULL,2005-07-30 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
98766,2645,Animal Crossing: Wild World,NULL,2005-11-23 00:00:00.000,27,NULL,75.0000,2,76.0964,98
119079,72665,Animamundi: Dark Alchemist,"Count Georik Zaberisk builds a sterling reputation as the head Royal Physician tending to the King of Hardland. However, the poor health of his frail sister, Lillith, drives him to resign from his post and retire to the countryside where he lives the charmed life of nobility. One day, while Georik is away, Lillith is accused and tried for witchcraft by an angry mob of villagers -- her head is chopped off and her body burned! Somehow Georik manages to secure Lillith’s head and to his amazement finds that she is still alive, and Georik is consumed with a desire to make Lillith whole again. Georik learns of the homunculi, who use alchemy. However, the Kingdom of Hardland had outlawed witchcraft and alchemy long ago. Georik is forced to delve into the banned world of alchemy in order to help his sister.",2005-01-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
80575,6306,"Animaniacs: Lights, Camera, Action!",NULL,2005-07-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
79405,3786,Animaniacs: The Great Edgar Hunt,NULL,2005-09-18 00:00:00.000,1,NULL,NULL,NULL,54.0000,0
183391,4849,Ankh,NULL,2005-11-04 00:00:00.000,NULL,NULL,76.0000,2,69.9824,5
136986,9566,Another Century's Episode,NULL,2005-01-27 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
118293,18595,Another Code: Two Memories,"Two days before her fourteenth birthday, Ashley Mizuki Robbins receives a package from her father, Richard Robbins, whom she thought was dead. The package contained a small handheld device called a Dual Another System, or ""DAS"" (Dual Trace System, DTS in the American release), along with an invitation to meet him on Blood Edward Island. The following day, her and her aunt , Jessica Robbins, set off for the island. While there, Ashley meets ""D"", a ghost with no memories, who has been wandering the island alone for decades since his death. Ashley attempts to aide D in uncovering his lost memories, while also uncovering the truth about her father, the murder of her murder, and the mysterious project, code named ""Another"".",2005-02-24 00:00:00.000,5,NULL,70.0000,1,64.2010,13
164488,4677,Anubis II,NULL,2005-07-14 00:00:00.000,1,NULL,30.0000,1,NULL,NULL
